,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,48.93,50.08,49.31,14844.2
1,add1,49.41,49.82,49.54,15058.7
2,add2,49.31,49.94,49.52,15072.0
3,mul0,74.85,48.94,61.89,224820.0
4,mul1,74.93,48.92,61.92,225136.0
5,mul2,74.91,48.74,61.83,225160.0
6,mul3,75.03,48.8,61.91,225174.0
7,reg_Q0,48.94,48.94,48.94,18698.0
8,reg_Q1,50.08,50.08,50.08,18816.0
9,reg_Q2,49.82,49.82,49.82,18784.0
10,reg_Y,49.94,49.94,49.94,18001.0
11,zfir_12bit,74.85,49.94,49.94,1075210.0
