,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,48.8,49.78,49.13,30915.5
1,add1,49.37,49.98,49.57,31263.4
2,add2,49.45,49.99,49.63,31278.0
3,mul0,49.99,48.87,49.43,1062920.0
4,mul1,49.95,48.74,49.35,1062290.0
5,mul2,49.95,48.96,49.46,1060370.0
6,mul3,50.0,48.92,49.46,1062950.0
7,reg_Q0,48.87,48.87,48.87,37373.0
8,reg_Q1,49.78,49.78,49.78,37584.0
9,reg_Q2,49.98,49.98,49.98,37631.0
10,reg_Y,49.99,49.99,49.99,36008.0
11,zfir_24bit,49.99,49.99,49.99,4607240.0
