,Components,alpha_in,alpha_out,alpha_inout,power [nW]
0,add0,44.29,48.06,45.54,14094.5
1,add1,46.22,48.8,47.08,14533.9
2,add2,46.65,49.41,47.57,14632.2
3,mul0,25.03,44.42,34.72,79767.8
4,mul1,24.96,44.17,34.56,79445.0
5,mul2,24.85,44.38,34.62,79236.0
6,mul3,24.86,44.5,34.68,79331.3
7,reg_Q0,44.42,44.42,44.42,18120.0
8,reg_Q1,48.06,48.06,48.06,18563.0
9,reg_Q2,48.8,48.8,48.8,18653.0
10,reg_Y,49.41,49.41,49.41,17941.0
11,zfir_12bit,25.03,49.41,49.41,456249.0
